"filename", "language", "C++", "Swift", "JSON", "XML", "Dart", "Markdown", "HTML", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"/home/nims/studio projects/sono/lib/view/widget/utilization/language/custom_button_lang.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"/home/nims/studio projects/sono/linux/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/home/nims/studio projects/sono/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/home/nims/studio projects/sono/linux/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/nims/studio projects/sono/linux/my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/home/nims/studio projects/sono/linux/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/home/nims/studio projects/sono/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 39, 7, 79
"/home/nims/studio projects/sono/test/widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"/home/nims/studio projects/sono/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"/home/nims/studio projects/sono/web/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/media/nims/ملفاتي/studio projects/sono/README.md", "Markdown", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, -7, -17
"/media/nims/ملفاتي/studio projects/sono/analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -22, -4, -29
"/media/nims/ملفاتي/studio projects/sono/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -51, 0, -5, -12, -68
"/media/nims/ملفاتي/studio projects/sono/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -4, -1, -8
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, -6, -1, -34
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -7, -2, -13
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -7, -2, -13
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, -9, -1, -19
"/media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, -9, -1, -19
